Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,CD,MM,Savings,AccountAge
0.69,18000,0,34,0,0,0,0,1,0,1,1,0,0,0,4
2.69,59140,0,28,1,0,1,0,1,0,1,1,0,0,0,5
0.15,3.3348331802,0,30,1,0,1,0,0,1,1,0,0,1,1,5
1.97,1126,0,29,1,0,0,1,0,0,1,0,1,0,0,4
0.74,1718.276966,0,38,1,1,0,1,1,1,0,1,1,1,1,9
2.76,29902,0,44,0,0,0,0,1,0,1,1,0,0,0,3
1.16,26044,0,42,0,0,0,0,1,0,1,1,0,0,0,4
3.82,2368.152283,0,37,1,0,0,1,0,1,1,0,1,1,1,8
0.55,30,0,40,1,0,1,0,0,1,1,0,0,1,1,4
1.67,272,0,44,1,0,1,0,0,1,0,0,0,1,1,8
2.11,34640,0,50,1,0,1,0,1,0,0,1,0,0,0,8
2.43,55196.235743,0,50,1,0,0,0,1,1,1,1,0,1,1,8
1.66,141,0,46,1,0,1,0,0,1,1,0,0,1,1,4
1.47,7500,0,46,1,0,0,0,1,0,0,1,0,0,0,5
3.25,47000,1,30,1,0,0,0,1,0,1,1,0,0,0,6
1,25000,0,26,0,0,0,0,1,0,1,1,0,0,0,3
0.07,2.8547798064,0,29,0,0,0,0,0,1,1,0,0,1,1,3
0.18,111,0,40,1,0,0,0,0,1,1,0,0,1,1,4
1.04,61750,0,40,1,0,0,0,1,0,0,1,0,0,0,4
0.2,59.398590433,0,46,1,0,1,0,0,1,1,0,0,1,1,0
1.04,3045,0,24,1,0,0,1,1,0,1,0,1,0,0,3
0.11,4.4134615708,0,35,1,0,0,0,0,1,1,0,0,1,1,2
0.75,20,0,31,0,0,0,0,0,1,1,0,0,1,1,3
2.33,37037,0,36,1,0,0,0,1,0,0,1,0,0,0,8
0.51,21,0,59,1,0,1,0,0,1,0,0,0,1,1,10
1.13,74,0,34,1,0,1,0,0,1,1,0,0,1,1,1
5.21,64206,0,33,0,0,0,0,1,0,1,1,0,0,0,7
0.96,144,0,33,1,0,0,0,0,1,0,0,0,1,1,0
0.38,8900,0,32,1,0,0,0,1,0,1,1,0,0,0,6
2.16,3042.7123215,0,31,1,0,0,1,0,1,1,0,1,1,1,7
4.67,40995,0,45,0,0,0,0,1,0,0,1,0,0,0,4
1.12,16500,0,37,1,0,0,0,1,0,0,1,0,0,0,6
1.08,186,0,40,1,0,0,0,0,1,0,0,0,1,1,0
0.12,4.0588009376,1,43,1,0,0,0,0,1,1,0,0,1,1,6
1.38,78761,0,40,1,0,0,0,1,0,1,1,0,0,0,8
0.6,1577.6161764,0,38,1,0,1,1,0,1,1,0,1,1,1,10
0.1,5.7609746818,1,44,1,0,0,0,0,1,1,0,0,1,1,1
2.41,37610,0,42,1,0,1,0,1,0,0,1,0,0,0,7
0.17,45,0,44,1,0,0,0,0,1,1,0,0,1,1,3
4.62,67476.177093,1,47,1,0,0,0,1,1,1,1,0,1,1,5
1.33,25427,0,64,1,0,0,0,1,1,1,1,0,1,1,6
1.19,30082,0,54,0,0,0,0,1,1,1,1,0,1,1,5
1.54,558,0,32,1,0,0,1,0,0,1,0,1,0,0,2
0.97,46950,0,32,1,0,0,0,1,0,1,1,0,0,0,8
1.28,38000,0,26,1,0,0,0,1,0,1,1,0,0,0,3
2.55,95000,0,39,0,0,0,0,1,0,1,1,0,0,0,5
0.37,150,0,43,0,0,1,0,0,1,1,0,0,1,1,2
0.48,6500,0,36,0,0,0,0,1,0,0,1,0,0,0,4
0.64,507.35500332,0,36,1,0,1,1,0,1,0,0,1,1,1,6
0.48,647,0,41,1,0,1,1,0,1,1,0,1,1,1,4
1.1,13475,0,42,1,0,0,0,1,0,1,1,0,0,0,7
0.94,8100,0,37,1,0,0,0,1,0,0,1,0,0,0,0
7.27,2320,0,41,0,0,0,1,0,0,1,0,1,0,0,4
3.39,7074,1,53,1,0,0,1,0,1,0,0,1,1,1,4
3.09,1128,0,56,1,0,0,1,0,0,1,0,1,0,0,9
0.9,2287,0,60,0,1,0,0,0,1,1,1,0,1,1,11
